,game_id,game_state,game_number,team1_id,team1_side,team1_result,team1_record_wins,team1_record_losses,team1_record_ties,team2_id,team2_side,team2_result,team2_record_wins,team2_record_losses,team2_record_ties,match_id,match_state,match_strategy,match_count,tournament_id,leagueId,slug_x,startDate,endDate,esportsGameId,platformGameId,teammapping_200,teammapping_100,participantmapping_3,participantmapping_5,participantmapping_10,participantmapping_2,participantmapping_1,participantmapping_9,participantmapping_7,participantmapping_8,participantmapping_6,participantmapping_4,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9,player_10,team_100,team_200,id,name,slug_y,sport,image,lightImage,darkImage,region,priority,displayPriority
19150,107417432878727953,completed,1,107423075317119707,blue,win,,,,107423086908356081,red,loss,,,,107417432878727952,completed,bestOf,1,107417432877679361,105266098308571975,regular_season,2022-01-01,2022-04-05,107417432878727953,ESPORTSTMNT01:2703011,107423075317119707,107423086908356081,99566404562781815,99322214596031303,107564691135260917,98767975905404344,105532922945309599,107564687659268896,107564676999969564,107564680186947809,107564675440240861,105537413325252312,Jaeger,Haru,Tempt,Nata,Kasing,Petoska,de sidere,Eyhro,Azitor,Abagnale,nyyrikki,nyyrikki,105266098308571975,NLC,nlc,lol,http://static.lolesports.com/leagues/1641490922073_nlc_logo.png,http://static.lolesports.com/leagues/1641490922073_nlc_logo.png,http://static.lolesports.com/leagues/1640783523550_NLCMasterLogoRGB-onBlack1.png,EMEA,1000.0,"{'position': 16, 'status': 'not_selected'}"
7497,105562790519192310,completed,1,103535282135552642,blue,win,,,,103535282148790975,red,loss,,,,105562790519192309,completed,bestOf,1,105562790517029462,101097443346691685,regular_season,2021-01-21,2021-03-29,105562790519192310,ESPORTSTMNT05:1821361,103535282148790975,103535282135552642,103495716719142791,103687527431326961,103805069759346933,104251398643789501,102501215584239714,103500470445208443,103495716715079553,103495716768963427,105548714234532655,103495716740245413,pr1me,Tumay,Maximillion,Jeyrus,ShawiKatami,Kebap,113,Rhemio,Rate,Parus,papara-supermassive-blaze-akademi,papara-supermassive-blaze-akademi,,,,,,,,,,
24098,105562833913401634,completed,1,101428372607057464,blue,win,,,,101428372600307248,red,loss,,,,105562833913401633,completed,bestOf,1,105562833911566614,98767991349978712,regular_season,2021-01-23,2021-04-12,105562833913401634,ESPORTSTMNT01:1723572,101428372600307248,101428372607057464,105576988443760133,103535282079840136,99566404543972084,99871352196477603,103734705460272719,105576902117578145,101796977262248072,101796953887103159,105576891638502799,103535282088432240,Ino,Hoglet,Megumiin,Honey,Nemoh,Kinatu,hachamecha,Recap,Ssol,Secret,axiz,axiz,98767991349978712,LJL,ljl-japan,lol,http://static.lolesports.com/leagues/1592516354053_LJL-01-FullonDark.png,http://static.lolesports.com/leagues/1592516354053_LJL-01-FullonDark.png,http://static.lolesports.com/leagues/1592516354056_LJL-03-FullonLight.png,JAPAN,208.0,"{'position': 5, 'status': 'not_selected'}"
11080,110343648528758781,completed,1,102787200136756173,blue,win,,,,107416483509696259,red,loss,,,,110343648528758780,completed,bestOf,1,110343648526792583,105266091639104326,regular_season,2023-05-30,2023-08-19,110343648528758781,ESPORTSTMNT06:2819859,107416483509696259,102787200136756173,107560301147906155,105504180588961800,105554482191853256,105503892038410121,99322214604295671,103935319202548658,100312190807221865,98767975903586526,103537039526273848,105530924527575757,Vizicsacsi,Rulfchen,Kaymin,HARPOON,Leon,Pride,Zanzarah,Special,SMILEY,Lilipp,berlin-international-gaming,berlin-international-gaming,105266091639104326,Prime League,primeleague,lol,http://static.lolesports.com/leagues/PrimeLeagueResized.png,http://static.lolesports.com/leagues/PrimeLeagueResized.png,http://static.lolesports.com/leagues/1664881238559_Prime_Leaguelogo_square1.png,EMEA,1000.0,"{'position': 22, 'status': 'not_selected'}"
4078,105658534676007856,completed,1,98926509883054987,blue,loss,,,,98767991930907107,red,win,,,,105658534676007855,completed,bestOf,1,105658534671026792,98767991299243165,regular_season,2021-06-04,2021-08-30,105658534676007856,ESPORTSTMNT01:2134279,98767991930907107,98926509883054987,100205574874707229,98926509759999764,98767975935156907,98926509794264528,101383793881527569,99566406296347493,99322214660829968,98926509877984406,103478281372021286,101383793885656347,FakeGod,Akaadian,Yusui,Neo,aphromoo,Revenge,Xerxe,Insanity,Raes,Destiny,dignitas,dignitas,98767991299243165,LCS,lcs,lol,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,http://static.lolesports.com/leagues/LCSNew-01-FullonDark.png,NORTH AMERICA,1.0,"{'position': 0, 'status': 'selected'}"
5450,109467209706098825,completed,3,109642680932009857,blue,loss,,,,104710354840711661,red,win,,,,109467209706098822,completed,bestOf,5,109467209705050129,105266098308571975,playoffs,2023-01-15,2023-03-31,109467209706098825,ESPORTSTMNT04:2672152,104710354840711661,109642680932009857,105520112147553289,99322214596031303,105537229187376795,106302871842509777,107455839109338727,106272980284019109,105321453610920052,100205574025142251,108362989061999316,101389713985551761,Wao,Akabane,Furuy,Woolite,Kasing,Banderas,Winter 7,FireRain,jinjo,kibah,nord-esports,nord-esports,105266098308571975,NLC,nlc,lol,http://static.lolesports.com/leagues/1641490922073_nlc_logo.png,http://static.lolesports.com/leagues/1641490922073_nlc_logo.png,http://static.lolesports.com/leagues/1640783523550_NLCMasterLogoRGB-onBlack1.png,EMEA,1000.0,"{'position': 16, 'status': 'not_selected'}"
23743,107530554768938898,completed,1,98767991935149427,blue,win,,,,99566408358330419,red,loss,,,,107530554768938897,completed,bestOf,1,107530554766055254,101382741235120470,regular_season,2022-01-28,2022-04-17,107530554768938898,ESPORTSTMNT03:2542315,99566408358330419,98767991935149427,99566408310768239,98767975976872712,99566404541748447,98767975971974446,99566404558187398,103727753345856483,100118558665940715,98767975941793931,99566404564329223,105512438075390766,SoHwan,Oddie,WARANGELUS,Ceo,Slow,ADD,Follow,seiya,Gavotto,Jelly,rainbow7,rainbow7,101382741235120470,LLA,lla,lol,http://static.lolesports.com/leagues/1592516315279_LLA-01-FullonDark.png,http://static.lolesports.com/leagues/1592516315279_LLA-01-FullonDark.png,http://static.lolesports.com/leagues/1592516315281_LLA-03-FullonLight.png,LATIN AMERICA,206.0,"{'position': 6, 'status': 'not_selected'}"
17291,110378429158160189,completed,2,105550033967461806,blue,win,,,,105550049871017396,red,loss,,,,110378429158160187,completed,bestOf,3,110378429156980338,98767991335774713,regular_season,2023-06-03,2023-08-25,110378429158160189,ESPORTSTMNT02:3219285,105550049871017396,105550033967461806,107492116585043595,105388980252039870,107492119089043087,108366332471078988,108205130568869560,109625891896082370,107454953423394142,107492030596737445,107492121209956865,102483272156027229,Frog,Sponge,SeTab,deokdam,Pleata,PerfecT,HamBak,Feisty,Hype ,Way,drx-challengers,drx-challengers,98767991335774713,LCK Challengers,lck_challengers_league,lol,http://static.lolesports.com/leagues/lck-cl-white.png,http://static.lolesports.com/leagues/lck-cl-white.png,http://static.lolesports.com/leagues/lck-cl-black.png,KOREA,1000.0,"{'position': 29, 'status': 'not_selected'}"
19863,109518697662122724,completed,1,99566405123587075,blue,win,,,,99566405126602853,red,loss,,,,109518697662122723,completed,bestOf,1,109518697660746274,109511549831443335,regular_season,2023-01-19,2023-04-03,109518697662122724,ESPORTSTMNT01:3301410,99566405126602853,99566405123587075,105504859153230089,103478281354850842,109703322923387508,104668539132702977,99322408711949607,108369186353082038,107424990007380124,107424988510472343,106547199482728931,105957599019114812,Jenkins,Kevy,Copy,Meech,Breezy,Philip,Yuuji,Spirax,Massu,Qitong,clg-academy,clg-academy,109511549831443335,LCS Challengers,north_american_challenger_league,lol,http://static.lolesports.com/leagues/1671126494281_NACL23_Icon_WHT1.png,http://static.lolesports.com/leagues/1671126494281_NACL23_Icon_WHT1.png,http://static.lolesports.com/leagues/1671126494281_NACL23_Icon_BLK1.png,NORTH AMERICA,1000.0,"{'position': 1, 'status': 'selected'}"
19163,107417432878727979,completed,1,107423083507599175,blue,win,,,,105519746234964687,red,loss,,,,107417432878727978,completed,bestOf,1,107417432877679361,105266098308571975,regular_season,2022-01-01,2022-04-05,107417432878727979,ESPORTSTMNT01:2693034,105519746234964687,107423083507599175,105520720212515992,104726961025998888,106477571985633874,106307376410992717,103877885177694021,102181564370768272,101422616374143686,99591585009210856,105515354716470535,105519570521259934,Nille,Noodle,Sahira,Kehvo,Quixeth,EYLIPH,Viking,Backlund,Venzer,FGG,vanir,vanir,105266098308571975,NLC,nlc,lol,http://static.lolesports.com/leagues/1641490922073_nlc_logo.png,http://static.lolesports.com/leagues/1641490922073_nlc_logo.png,http://static.lolesports.com/leagues/1640783523550_NLCMasterLogoRGB-onBlack1.png,EMEA,1000.0,"{'position': 16, 'status': 'not_selected'}"
